"SAMPLE","CASEID","IDHSPID","IDHSHID","HHID","HHNUM","PSU","STRATA","DOMAIN","PERWEIGHT","DVWEIGHT","URBAN","CLUSTERNO","DISTRICT","RESIDENT","ELECTRCHH","COOKFUEL","HUSJOB","EDUCLVL","SAMPLESTR","DHSID"
2884,"            5 8  2","   2884         5 8  2","   2884         5 8","            5 8",8,5,133,8,0.816556,,2,5,4,1,0,530,40,0,"2884","GH200300000005"
2884,"            5 9  2","   2884         5 9  2","   2884         5 9","            5 9",9,5,133,8,0.816556,,2,5,4,1,0,530,40,0,"2884","GH200300000005"
2884,"            511  2","   2884         511  2","   2884         511","            511",11,5,133,8,0.816556,,2,5,4,1,0,530,40,0,"2884","GH200300000005"
2884,"            512  2","   2884         512  2","   2884         512","            512",12,5,133,8,0.816556,,2,5,4,1,0,530,40,0,"2884","GH200300000005"
2884,"            513  2","   2884         513  2","   2884         513","            513",13,5,133,8,0.816556,,2,5,4,1,0,530,40,0,"2884","GH200300000005"
2884,"            513  8","   2884         513  8","   2884         513","            513",13,5,133,8,0.816556,,2,5,4,1,0,530,40,0,"2884","GH200300000005"
2884,"            514  2","   2884         514  2","   2884         514","            514",14,5,133,8,0.816556,,2,5,4,1,0,530,40,0,"2884","GH200300000005"
2884,"            514  3","   2884         514  3","   2884         514","            514",14,5,133,8,0.816556,,2,5,4,1,0,530,99,0,"2884","GH200300000005"
2884,"            515  2","   2884         515  2","   2884         515","            515",15,5,133,8,0.816556,,2,5,4,1,0,530,40,0,"2884","GH200300000005"
2884,"            517  2","   2884         517  2","   2884         517","            517",17,5,133,8,0.816556,,2,5,4,1,0,530,40,0,"2884","GH200300000005"
2884,"            6 1  2","   2884         6 1  2","   2884         6 1","            6 1",1,6,181,6,1.224215,,2,6,9,1,1,530,32,1,"2884","GH200300000006"
2884,"            6 2  2","   2884         6 2  2","   2884         6 2","            6 2",2,6,181,6,1.224215,,2,6,9,1,0,530,40,1,"2884","GH200300000006"
2884,"            6 7  2","   2884         6 7  2","   2884         6 7","            6 7",7,6,181,6,1.224215,,2,6,9,1,1,530,32,1,"2884","GH200300000006"
2884,"            6 7  3","   2884         6 7  3","   2884         6 7","            6 7",7,6,181,6,1.224215,,2,6,9,1,1,530,32,1,"2884","GH200300000006"
2884,"            6 7  4","   2884         6 7  4","   2884         6 7","            6 7",7,6,181,6,1.224215,,2,6,9,1,1,530,61,0,"2884","GH200300000006"
2884,"            6 7  5","   2884         6 7  5","   2884         6 7","            6 7",7,6,181,6,1.224215,,2,6,9,1,1,530,99,2,"2884","GH200300000006"
2884,"            611  2","   2884         611  2","   2884         611","            611",11,6,181,6,1.224215,,2,6,9,1,1,530,32,2,"2884","GH200300000006"
2884,"            612  2","   2884         612  2","   2884         612","            612",12,6,181,6,1.224215,,2,6,9,1,1,530,20,2,"2884","GH200300000006"
2884,"            612  5","   2884         612  5","   2884         612","            612",12,6,181,6,1.224215,,2,6,9,1,1,530,99,2,"2884","GH200300000006"
2884,"            614  1","   2884         614  1","   2884         614","            614",14,6,181,6,1.224215,,2,6,9,1,0,530,40,1,"2884","GH200300000006"
2884,"            615  4","   2884         615  4","   2884         615","            615",15,6,181,6,1.224215,,2,6,9,1,0,530,61,2,"2884","GH200300000006"
2884,"            617  2","   2884         617  2","   2884         617","            617",17,6,181,6,1.224215,,2,6,9,1,1,530,40,2,"2884","GH200300000006"
2884,"            618  1","   2884         618  1","   2884         618","            618",18,6,181,6,1.224215,,2,6,9,1,0,530,61,2,"2884","GH200300000006"
2884,"            620  1","   2884         620  1","   2884         620","            620",20,6,181,6,1.224215,,2,6,9,1,1,530,40,1,"2884","GH200300000006"
2884,"            7 2  1","   2884         7 2  1","   2884         7 2","            7 2",2,7,163,3,1.431495,,1,7,1,1,1,220,20,2,"2884","GH200300000007"
